Sample	fws	bin_0	bin_1	bin_2	bin_3	bin_4	bin_5	bin_6	bin_7	bin_8	bin_9
VVX04287	0.69474864	0.0012779362	0.03967655	0.061093666	0.08378304	0.096873604	0.12082822	0.12951055	0.14081979	0.15757447	0.15994035
VVX04288	0.99705005	2.0419986e-05	0.00063634536	0.0015173125	0.0016867432	0.00086213247	0.00047351044	0.0007923184	0.0031132568	0.000958482	0.0004923562
VVX04289	0.33343816	0.002319689	0.0844957	0.14083877	0.19344382	0.22747734	0.25674114	0.29721576	0.30870336	0.32702577	0.3381103
VVX04290	0.996203	7.772177e-06	0.0009784488	0.0019509451	0.0019817282	0.0039850036	0.0024264166	0.0010255545	0.0017206572	0.0	0.00060264394
VVX04291	0.9941412	2.1565982e-05	0.00058078783	0.0008885283	0.0018704927	0.002145935	0.0011053984	0.0039054288	0.0041631986	0.0020404067	0.0022045514
VVX04293	0.9964736	1.6250773e-05	0.0011276331	0.0021283426	0.0021757826	0.00393841	0.0028597298	0.0	0.0013435212	0.0	0.00059996924
VVX04295	0.6310054	0.0012580839	0.047008935	0.073688306	0.10809803	0.13633306	0.14809018	0.15477	0.1638518	0.18387896	0.18876843
VVX04297	0.8396673	0.0006316354	0.02257373	0.03665779	0.054822545	0.06223826	0.06252999	0.07055188	0.06866801	0.07914164	0.074526034
VVX04298	0.8727376	0.00052473665	0.018748088	0.031512104	0.037641253	0.05216975	0.049928583	0.05994299	0.058283295	0.055815913	0.058955394
VVX04300	0.99847704	8.562278e-06	0.00028289162	0.0005394207	0.00034038824	0.00035879455	0.00069278147	0.00050242397	0.0009957629	0.0004279858	0.0009360619
VVX04302	0.8732356	0.0005164336	0.017821632	0.025421286	0.03832801	0.043845728	0.04821583	0.053362116	0.05863147	0.06199933	0.0666621
